year,sex,type_of_course,no_of_graduates
2005,Males,Architecture & Building,138
2005,Males,Engineering Sciences,2887
2005,Males,Services,na
2005,Females,Education,278
2005,Females,Applied Arts,11
2005,Females,Humanities & Social Sciences,1027
2005,Females,Mass Communication,110
2005,Females,Accountancy,495
2005,Females,Business & Administration,799
2005,Females,Law,125
2005,Females,Natural Physical & Mathematical Sciences,674
2005,Females,Medicine,86
2005,Females,Dentistry,12
2005,Females,Health Sciences,69
2005,Females,Information Technology,199
2005,Females,Architecture & Building,234
2005,Females,Engineering Sciences,1241
2005,Females,Services,na
2006,Males,Education,89
2006,Males,Applied Arts,11
2006,Males,Humanities & Social Sciences,412
2006,Males,Mass Communication,33
2006,Males,Accountancy,176
2006,Males,Business & Administration,432
2006,Males,Law,70
2006,Males,Natural Physical & Mathematical Sciences,388
2006,Males,Medicine,135
2006,Males,Dentistry,18
2006,Males,Health Sciences,24
2006,Males,Information Technology,319
2006,Males,Architecture & Building,166
2006,Males,Engineering Sciences,2934
2006,Males,Services,na
2006,Females,Education,302
2006,Females,Applied Arts,13
2006,Females,Humanities & Social Sciences,1071
2006,Females,Mass Communication,108
2006,Females,Accountancy,468
2006,Females,Business & Administration,819
2006,Females,Law,134
2006,Females,Natural Physical & Mathematical Sciences,880
2006,Females,Medicine,94
2006,Females,Dentistry,14
2006,Females,Health Sciences,57
2006,Females,Information Technology,130
2006,Females,Architecture & Building,214
2006,Females,Engineering Sciences,1199
2006,Females,Services,na
2007,Males,Education,73
2007,Males,Applied Arts,28
2007,Males,Humanities & Social Sciences,441
2007,Males,Mass Communication,28
2007,Males,Accountancy,260
2007,Males,Business & Administration,493
2007,Males,Law,84
2007,Males,Natural Physical & Mathematical Sciences,427
2007,Males,Medicine,144
2007,Males,Dentistry,21
2007,Males,Health Sciences,19
2007,Males,Information Technology,303
2007,Males,Architecture & Building,131
2007,Males,Engineering Sciences,3371
2007,Males,Services,0
2007,Females,Education,189
2007,Females,Applied Arts,41
2007,Females,Humanities & Social Sciences,980
2007,Females,Mass Communication,141
2007,Females,Accountancy,575
2007,Females,Business & Administration,894
2007,Females,Law,123
2007,Females,Natural Physical & Mathematical Sciences,827
2007,Females,Medicine,83
